image_id,age_group,age,person_id
31\nm0005431_rm1653665792_1970-7-1_2013,3,43,nm0005431
18\nm1715118_rm1125550336_1987-7-16_2008,0,21,nm1715118
57\nm0172557_rm3212158464_1974-8-20_2005,1,31,nm0172557
63\nm0659363_rm4063004672_1989-8-21_2009,0,20,nm0659363
29\nm0005429_rm2226755584_1974-9-19_2005,1,31,nm0005429
48\nm0836548_rm609000192_1954-1-6_2001,4,47,nm0836548
01\nm0306201_rm3947662080_1973-4-28_2004,1,31,nm0306201
10\nm0000210_rm3230764800_1967-10-28_2010,3,43,nm0000210
31\nm0528331_rm1021230336_1960-7-14_2011,5,51,nm0528331
45\nm0378245_rm3489183232_1970-9-11_2011,3,41,nm0378245
71\nm0402271_rm2268899584_1980-4-10_2008,1,28,nm0402271
01\nm0001101_rm2960178432_1947-12-29_2000,5,53,nm0001101
36\nm0139936_rm1151703040_1974-8-6_2001,1,27,nm0139936
71\nm0112871_rm3093215232_1962-12-11_1999,2,37,nm0112871
69\nm0919369_rm579377408_1965-11-19_2002,2,37,nm0919369
73\nm0000473_rm3968060928_1946-1-5_1977,1,31,nm0000473
45\nm1896045_rm979865088_1975-9-19_2006,1,31,nm1896045
46\nm0852146_rm3581659136_1917-9-20_1984,7,67,nm0852146
16\nm2652716_rm2973615360_1990-1-14_2014,0,24,nm2652716
05\nm0192505_rm4189686272_1985-11-30_2007,0,22,nm0192505
45\nm0005245_rm3549935616_1970-4-20_2005,2,35,nm0005245
02\nm0000102_rm2155055616_1958-7-8_2009,5,51,nm0000102
58\nm0915458_rm3787838208_1982-11-18_2011,1,29,nm0915458
48\nm1157048_rm1639170816_1980-9-29_2014,2,34,nm1157048
48\nm0000148_rm3958806272_1942-7-13_2008,7,66,nm0000148
63\nm0004963_rm1198639104_1961-5-27_1993,2,32,nm0004963
70\nm1456970_rm267975936_1985-1-29_2014,1,29,nm1456970
98\nm0000598_rm793680384_1954-4-9_2002,4,48,nm0000598
87\nm0001287_rm231394816_1970-1-29_2014,4,44,nm0001287
67\nm1032567_rm191296512_1978-4-26_2015,2,37,nm1032567
25\nm0001125_rm362974464_1967-2-19_2003,2,36,nm0001125
06\nm2554206_rm1736612096_1981-7-21_2002,0,21,nm2554206
67\nm0919867_rm3108542720_1966-4-18_2004,3,38,nm0919867
56\nm0000656_rm2341908992_1958-8-18_2011,5,53,nm0000656
23\nm0005123_rm3250307584_1976-2-28_2014,3,38,nm0005123
